Category,TeamR,Lg Rank,Team,Year
W,53,3.0,Golden,Stats
L,29,27.0,Golden,Stats
PW,55,4.0,Golden,Stats
PL,27,4.0,Golden,Stats
MOV,5.54,5.0,Golden,Stats
SOS,-0.02,17.0,Golden,Stats
SRS,5.52,4.0,Golden,Stats
ORtg,112.5,17.0,Golden,Stats
DRtg,106.9,1.0,Golden,Stats
NetRtg,5.6,5.0,Golden,Stats
Pace,98.4,13.0,Golden,Stats
FTr,0.235,23.0,Golden,Stats
3PAr,0.456,2.0,Golden,Stats
eFG%,0.552,3.0,Golden,Stats
TOV%,13.5,29.0,Golden,Stats
ORB%,22.8,18.0,Golden,Stats
FT/FGA,0.181,22.0,Golden,Stats
eFG%,0.509,2.0,Golden,Stats
TOV%,13.0,7.0,Golden,Stats
DRB%,78.7,2.0,Golden,Stats
FT/FGA,0.201,22.0,Golden,Stats
Arena,Chase Center,,Golden,Stats
Attendance,"740,624",10.0,Golden,Stats
