Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Champion
2013-14,44,ATL,NBA,82,38,44,0.463,-3.0,4,x,7.0,3.0,4.0,0.429,0
2014-15,45,ATL,NBA,82,60,22,0.732,19.0,1,x,16.0,8.0,8.0,0.5,0
2015-16,46,ATL,NBA,82,48,34,0.585,7.0,2,x,10.0,4.0,6.0,0.4,0
2016-17,47,ATL,NBA,82,43,39,0.524,2.0,2,x,6.0,2.0,4.0,0.333,0
2017-18,48,ATL,NBA,82,24,58,0.293,-17.0,5,x,x,x,x,x,0
2018-19,49,MIL,NBA,82,60,22,0.732,19.0,1,x,15.0,10.0,5.0,0.667,0
2019-20,50,MIL,NBA,73,56,17,0.767,19.5,1,x,10.0,5.0,5.0,0.5,0
2020-21,51,MIL,NBA,72,46,26,0.639,10.0,1,x,23.0,16.0,7.0,0.696,1
2021-22,52,MIL,NBA,82,51,31,0.622,10.0,1,x,12.0,7.0,5.0,0.583,0
2022-23,53,MIL,NBA,82,58,24,0.707,17.0,1,x,5.0,1.0,4.0,0.2,0
2024-25,55,PHO,NBA,17,10,7,0.588,1.5,2,x,x,x,x,x,0
